id,city,date,year,month,temperature,minimum,maximum,temp_range,precipitation,is_rain,conditions
1,Chicago,2020-07-01,2020,7,80.4,73.7,87.3,13.599999999999994,0.0,False,partially cloudy
2,Chicago,2020-08-01,2020,8,74.1,70.0,79.2,9.200000000000003,0.047,True,"rain, partially cloudy"
3,Chicago,2020-09-01,2020,9,71.5,69.4,75.4,6.0,0.308,True,"rain, partially cloudy"
4,Chicago,2020-10-01,2020,10,51.7,48.1,56.2,8.100000000000001,0.244,True,"rain, partially cloudy"
5,Chicago,2020-11-01,2020,11,40.3,31.9,54.5,22.6,0.0,False,partially cloudy
6,Chicago,2020-12-01,2020,12,29.4,26.1,33.6,7.5,0.0,False,partially cloudy
7,Chicago,2021-01-01,2021,1,30.8,24.0,35.2,11.200000000000003,0.277,True,"snow, rain, overcast"
8,Chicago,2021-02-01,2021,2,29.0,23.3,33.0,9.7,0.0,False,partially cloudy
9,Chicago,2021-03-01,2021,3,30.2,24.7,34.5,9.8,0.0,False,partially cloudy
10,Chicago,2021-04-01,2021,4,32.8,25.4,38.1,12.700000000000003,0.0,False,partially cloudy
11,Chicago,2021-05-01,2021,5,62.7,42.5,83.9,41.400000000000006,0.0,False,partially cloudy
12,Chicago,2021-06-01,2021,6,64.5,50.9,75.4,24.500000000000007,0.0,False,partially cloudy
13,Chicago,2021-07-01,2021,7,70.5,62.2,76.3,14.099999999999994,0.093,True,"rain, partially cloudy"
14,Chicago,2021-08-01,2021,8,71.4,66.5,75.6,9.099999999999994,0.0,False,partially cloudy
15,Chicago,2021-09-01,2021,9,73.1,66.7,76.6,9.899999999999991,0.0,False,partially cloudy
16,Chicago,2021-10-01,2021,10,72.7,61.7,85.4,23.700000000000003,0.0,False,partially cloudy
17,Chicago,2021-11-01,2021,11,41.5,35.1,47.7,12.600000000000001,0.0,False,partially cloudy
18,Chicago,2021-12-01,2021,12,43.2,35.1,47.9,12.799999999999997,0.0,False,overcast
19,Chicago,2022-01-01,2022,1,34.8,29.6,40.9,11.299999999999997,0.09,True,"snow, rain, overcast"
20,Chicago,2022-02-01,2022,2,39.4,33.8,46.3,12.5,0.07,True,"snow, rain, partially cloudy"
21,Chicago,2022-03-01,2022,3,43.3,37.0,51.2,14.200000000000003,0.0,False,partially cloudy
22,Chicago,2022-04-01,2022,4,37.4,32.8,44.9,12.100000000000001,0.004,True,"snow, rain, partially cloudy"
23,Chicago,2022-05-01,2022,5,53.7,51.5,59.9,8.399999999999999,0.0,False,overcast
24,Chicago,2022-06-01,2022,6,69.7,61.6,80.3,18.699999999999996,0.167,True,"rain, partially cloudy"
25,Chicago,2022-07-01,2022,7,76.5,70.8,83.0,12.200000000000003,0.0,False,partially cloudy
26,Chicago,2022-08-01,2022,8,80.2,74.5,86.9,12.400000000000006,0.0,False,partially cloudy
27,Chicago,2022-09-01,2022,9,79.1,69.2,88.5,19.299999999999997,0.0,False,partially cloudy
28,Chicago,2022-10-01,2022,10,60.5,52.4,68.4,16.000000000000007,0.0,False,clear
29,Chicago,2022-11-01,2022,11,57.2,46.6,69.5,22.9,0.0,False,clear
30,Chicago,2022-12-01,2022,12,27.1,18.0,35.4,17.4,0.0,False,partially cloudy
31,Chicago,2023-01-01,2023,1,41.1,37.1,44.2,7.100000000000001,0.115,True,"rain, overcast"
32,Chicago,2023-02-01,2023,2,17.6,6.2,27.9,21.7,0.0,False,clear
33,Chicago,2023-03-01,2023,3,46.5,38.4,56.7,18.300000000000004,0.117,True,"rain, partially cloudy"
34,Chicago,2023-04-01,2023,4,40.7,35.6,53.8,18.199999999999996,0.05,True,"rain, partially cloudy"
35,Chicago,2023-05-01,2023,5,44.0,40.6,49.9,9.299999999999997,0.068,True,"rain, overcast"
36,Chicago,2023-06-01,2023,6,78.3,69.2,89.5,20.299999999999997,0.1,True,"rain, partially cloudy"
37,Chicago,2023-07-01,2023,7,77.1,72.8,84.2,11.400000000000006,0.07,True,"rain, partially cloudy"
38,Chicago,2023-08-01,2023,8,76.7,69.0,84.0,15.0,0.0,False,partially cloudy
39,Chicago,2023-09-01,2023,9,71.7,59.7,82.6,22.89999999999999,0.0,False,clear
40,Chicago,2023-10-01,2023,10,72.8,62.6,84.0,21.4,0.0,False,clear
41,Chicago,2023-11-01,2023,11,35.7,28.1,40.8,12.699999999999996,0.0,False,partially cloudy
42,Chicago,2023-12-01,2023,12,43.6,41.9,45.3,3.3999999999999986,0.694,True,"rain, overcast"
43,Chicago,2024-01-01,2024,1,31.6,28.3,33.4,5.099999999999998,0.0,False,overcast
44,Chicago,2024-02-01,2024,2,41.4,35.6,55.1,19.5,0.0,False,partially cloudy
45,Chicago,2024-03-01,2024,3,40.4,31.6,46.3,14.699999999999996,0.0,False,partially cloudy
46,Chicago,2024-04-01,2024,4,45.1,43.3,47.9,4.600000000000001,0.555,True,"rain, overcast"
47,Chicago,2024-05-01,2024,5,70.0,63.6,76.1,12.499999999999993,0.003,True,"rain, partially cloudy"
48,Chicago,2024-06-01,2024,6,65.2,61.8,68.9,7.1000000000000085,0.613,True,"rain, overcast"
49,Chicago,2024-07-01,2024,7,66.7,59.1,73.2,14.100000000000001,0.0,False,partially cloudy
50,Chicago,2024-08-01,2024,8,79.7,72.8,87.6,14.799999999999997,0.412,True,"rain, partially cloudy"
51,Chicago,2024-09-01,2024,9,71.1,66.0,75.7,9.700000000000003,0.0,False,clear
52,Chicago,2024-10-01,2024,10,65.3,56.5,69.6,13.099999999999994,0.0,False,partially cloudy
53,Chicago,2024-11-01,2024,11,45.7,39.6,53.5,13.899999999999999,0.0,False,partially cloudy
54,Chicago,2024-12-01,2024,12,20.4,14.8,27.4,12.599999999999998,0.0,False,clear
55,Chicago,2025-01-01,2025,1,30.0,24.8,35.3,10.499999999999996,0.037,True,"snow, rain, overcast"
56,Chicago,2025-02-01,2025,2,32.0,30.2,34.6,4.400000000000002,0.0,False,partially cloudy
57,Chicago,2025-03-01,2025,3,28.0,23.3,35.3,11.999999999999996,0.0,False,partially cloudy
58,Chicago,2025-04-01,2025,4,39.9,34.7,46.2,11.5,0.0,False,partially cloudy
59,Chicago,2025-05-01,2025,5,60.0,52.1,69.7,17.6,0.285,True,"rain, overcast"
60,Chicago,2025-06-01,2025,6,57.9,47.9,65.7,17.800000000000004,0.0,False,partially cloudy
61,Chicago,2025-07-01,2025,7,79.8,71.5,87.5,16.0,0.0,False,partially cloudy
123,Des Moines,2020-07-01,2020,7,75.6,70.0,81.5,11.5,0.009,True,"rain, partially cloudy"
124,Des Moines,2020-08-01,2020,8,72.5,61.3,82.4,21.10000000000001,0.0,False,partially cloudy
125,Des Moines,2020-09-01,2020,9,64.9,61.3,70.2,8.900000000000006,0.071,True,"rain, partially cloudy"
126,Des Moines,2020-10-01,2020,10,52.9,48.0,57.9,9.899999999999999,0.0,False,partially cloudy
127,Des Moines,2020-11-01,2020,11,37.5,29.0,44.9,15.899999999999999,0.0,False,clear
128,Des Moines,2020-12-01,2020,12,26.8,14.6,41.9,27.299999999999997,0.0,False,clear
129,Des Moines,2021-01-01,2021,1,21.2,17.9,24.3,6.400000000000002,0.0,False,partially cloudy
130,Des Moines,2021-02-01,2021,2,25.4,19.0,28.9,9.899999999999999,0.0,False,partially cloudy
131,Des Moines,2021-03-01,2021,3,27.9,20.5,34.9,14.399999999999999,0.0,False,clear
132,Des Moines,2021-04-01,2021,4,34.0,20.3,46.2,25.900000000000002,0.0,False,clear
133,Des Moines,2021-05-01,2021,5,73.4,58.1,86.9,28.800000000000004,0.0,False,partially cloudy
134,Des Moines,2021-06-01,2021,6,65.5,53.2,77.0,23.799999999999997,0.0,False,partially cloudy
135,Des Moines,2021-07-01,2021,7,77.0,66.2,86.9,20.700000000000003,0.0,False,partially cloudy
136,Des Moines,2021-08-01,2021,8,71.7,62.1,80.4,18.300000000000004,0.0,False,clear
137,Des Moines,2021-09-01,2021,9,69.5,60.5,79.7,19.200000000000003,0.0,False,clear
138,Des Moines,2021-10-01,2021,10,69.0,64.1,75.8,11.700000000000003,0.003,True,"rain, partially cloudy"
139,Des Moines,2021-11-01,2021,11,38.3,31.1,46.4,15.299999999999997,0.0,False,partially cloudy
140,Des Moines,2021-12-01,2021,12,49.6,38.8,61.0,22.200000000000003,0.018,True,"rain, partially cloudy"
141,Des Moines,2022-01-01,2022,1,4.5,1.9,12.0,10.1,0.124,False,"snow, partially cloudy"
142,Des Moines,2022-02-01,2022,2,30.1,16.7,41.9,25.2,0.0,False,partially cloudy
143,Des Moines,2022-03-01,2022,3,47.9,34.0,63.3,29.299999999999997,0.0,False,partially cloudy
144,Des Moines,2022-04-01,2022,4,36.4,23.4,49.1,25.700000000000003,0.0,False,partially cloudy
145,Des Moines,2022-05-01,2022,5,47.3,43.0,51.3,8.299999999999997,0.011,True,"rain, overcast"
146,Des Moines,2022-07-01,2022,7,74.0,68.6,79.0,10.400000000000006,0.07,True,"rain, partially cloudy"
147,Des Moines,2022-08-01,2022,8,80.5,70.0,91.5,21.5,0.0,False,partially cloudy
148,Des Moines,2022-09-01,2022,9,74.5,68.0,84.3,16.299999999999997,0.226,True,"rain, partially cloudy"
149,Des Moines,2022-10-01,2022,10,60.9,47.2,73.2,26.0,0.0,False,partially cloudy
150,Des Moines,2022-11-01,2022,11,57.7,42.2,76.1,33.89999999999999,0.0,False,clear
151,Des Moines,2022-12-01,2022,12,28.8,13.5,44.9,31.4,0.0,False,partially cloudy
152,Des Moines,2023-01-01,2023,1,35.2,27.3,41.9,14.599999999999998,0.0,False,partially cloudy
153,Des Moines,2023-02-01,2023,2,22.4,10.4,36.3,25.9,0.0,False,clear
154,Des Moines,2023-03-01,2023,3,39.1,28.4,53.4,25.0,0.0,False,partially cloudy
155,Des Moines,2023-04-01,2023,4,40.7,32.9,51.5,18.6,0.0,False,partially cloudy
156,Des Moines,2023-05-01,2023,5,51.6,41.0,61.0,20.0,0.0,False,partially cloudy
157,Des Moines,2023-06-01,2023,6,70.6,66.7,81.7,15.0,0.74,True,"rain, partially cloudy"
158,Des Moines,2023-07-01,2023,7,72.6,69.5,76.5,7.0,0.121,True,"rain, partially cloudy"
159,Des Moines,2023-08-01,2023,8,77.1,68.1,86.0,17.900000000000006,0.014,True,"rain, partially cloudy"
160,Des Moines,2023-09-01,2023,9,71.7,57.3,87.0,29.700000000000003,0.0,False,clear
161,Des Moines,2023-10-01,2023,10,77.6,63.2,90.7,27.5,0.0,False,partially cloudy
162,Des Moines,2023-11-01,2023,11,33.2,20.5,47.8,27.299999999999997,0.0,False,partially cloudy
163,Des Moines,2023-12-01,2023,12,34.4,30.7,38.1,7.400000000000002,0.0,False,partially cloudy
164,Des Moines,2024-01-01,2024,1,27.2,23.0,34.0,11.0,0.0,False,partially cloudy
165,Des Moines,2024-02-01,2024,2,42.8,34.0,56.2,22.200000000000003,0.0,False,partially cloudy
166,Des Moines,2024-03-01,2024,3,43.2,31.5,55.2,23.700000000000003,0.0,False,clear
167,Des Moines,2024-04-01,2024,4,45.8,42.5,47.5,5.0,0.057,True,"rain, overcast"
168,Des Moines,2024-05-01,2024,5,59.3,50.9,66.2,15.300000000000004,0.046,True,"rain, partially cloudy"
169,Des Moines,2024-06-01,2024,6,72.5,64.2,80.8,16.599999999999994,0.0,False,partially cloudy
170,Des Moines,2024-07-01,2024,7,66.6,60.5,72.3,11.799999999999997,0.0,False,partially cloudy
171,Des Moines,2024-08-01,2024,8,77.9,70.0,85.5,15.5,0.0,False,partially cloudy
172,Des Moines,2024-09-01,2024,9,70.2,62.5,77.4,14.900000000000006,0.0,False,clear
173,Des Moines,2024-10-01,2024,10,60.9,51.5,68.9,17.400000000000006,0.0,False,partially cloudy
174,Des Moines,2024-11-01,2024,11,44.3,32.4,57.7,25.300000000000004,0.0,False,clear
175,Des Moines,2024-12-01,2024,12,21.1,15.6,27.7,12.1,0.0,False,partially cloudy
176,Des Moines,2025-01-01,2025,1,28.4,23.6,32.0,8.399999999999999,0.0,False,partially cloudy
177,Des Moines,2025-02-01,2025,2,35.6,29.5,40.5,11.0,0.0,False,partially cloudy
178,Des Moines,2025-03-01,2025,3,26.1,19.9,32.0,12.100000000000001,0.0,False,partially cloudy
179,Des Moines,2025-04-01,2025,4,41.6,34.7,47.5,12.799999999999997,0.009,True,"rain, partially cloudy"
180,Des Moines,2025-05-01,2025,5,57.3,52.7,66.0,13.299999999999997,0.018,True,"rain, partially cloudy"
181,Des Moines,2025-06-01,2025,6,69.6,59.4,80.2,20.800000000000004,0.0,False,partially cloudy
182,Des Moines,2025-07-01,2025,7,75.8,65.5,86.0,20.5,0.0,False,clear
183,Indianapolis,2020-07-01,2020,7,79.4,70.5,88.8,18.299999999999997,0.0,False,partially cloudy
184,Indianapolis,2020-08-01,2020,8,69.6,65.8,73.9,8.100000000000009,0.127,True,"rain, overcast"
185,Indianapolis,2020-09-01,2020,9,74.2,67.8,80.8,13.0,0.0,False,partially cloudy
186,Indianapolis,2020-10-01,2020,10,53.5,44.1,63.1,19.0,0.0,False,partially cloudy
187,Indianapolis,2020-11-01,2020,11,43.4,32.6,53.4,20.799999999999997,0.0,False,partially cloudy
188,Indianapolis,2020-12-01,2020,12,29.4,24.3,33.1,8.8,0.0,False,partially cloudy
189,Indianapolis,2021-01-01,2021,1,34.4,26.6,42.5,15.899999999999999,0.709,True,"snow, rain, overcast"
190,Indianapolis,2021-02-01,2021,2,28.4,24.3,31.4,7.099999999999998,0.013,True,"snow, rain, partially cloudy"
191,Indianapolis,2021-03-01,2021,3,35.8,29.0,43.5,14.5,0.0,False,partially cloudy
192,Indianapolis,2021-04-01,2021,4,32.7,27.5,38.0,10.5,0.0,False,partially cloudy
193,Indianapolis,2021-05-01,2021,5,56.0,38.8,73.6,34.8,0.0,False,clear
194,Indianapolis,2021-06-01,2021,6,66.3,58.8,74.1,15.299999999999997,0.0,False,partially cloudy
195,Indianapolis,2021-07-01,2021,7,74.5,67.9,83.8,15.899999999999991,2.142,True,"rain, partially cloudy"
196,Indianapolis,2021-08-01,2021,8,69.5,61.0,79.6,18.599999999999994,0.011,True,"rain, partially cloudy"
197,Indianapolis,2021-09-01,2021,9,72.9,66.7,80.7,14.0,0.0,False,partially cloudy
198,Indianapolis,2021-10-01,2021,10,67.7,57.1,79.9,22.800000000000004,0.0,False,partially cloudy
199,Indianapolis,2021-11-01,2021,11,42.2,36.0,48.5,12.5,0.0,False,partially cloudy
200,Indianapolis,2021-12-01,2021,12,40.9,32.1,48.8,16.699999999999996,0.175,True,"rain, partially cloudy"
201,Indianapolis,2022-01-01,2022,1,49.0,39.7,60.4,20.699999999999996,0.55,True,"rain, overcast"
202,Indianapolis,2022-02-01,2022,2,45.0,31.4,57.9,26.5,0.0,False,partially cloudy
203,Indianapolis,2022-03-01,2022,3,49.7,38.9,64.4,25.500000000000007,0.0,False,partially cloudy
204,Indianapolis,2022-04-01,2022,4,37.3,33.5,43.0,9.5,0.015,True,"snow, rain, partially cloudy"
205,Indianapolis,2022-05-01,2022,5,60.5,55.1,65.1,9.999999999999993,1.095,True,"rain, partially cloudy"
206,Indianapolis,2022-06-01,2022,6,76.9,70.9,84.3,13.399999999999991,0.075,True,"rain, partially cloudy"
207,Indianapolis,2022-07-01,2022,7,82.1,72.0,93.7,21.700000000000003,0.002,True,"rain, partially cloudy"
208,Indianapolis,2022-08-01,2022,8,77.2,67.9,87.3,19.39999999999999,0.254,True,"rain, partially cloudy"
209,Indianapolis,2022-09-01,2022,9,74.0,61.7,85.4,23.700000000000003,0.0,False,partially cloudy
210,Indianapolis,2022-10-01,2022,10,59.7,46.9,74.1,27.199999999999996,0.0,False,clear
211,Indianapolis,2022-11-01,2022,11,58.1,52.5,67.5,15.0,0.0,False,partially cloudy
212,Indianapolis,2022-12-01,2022,12,27.6,19.4,37.0,17.6,0.0,False,partially cloudy
213,Indianapolis,2023-01-01,2023,1,47.2,40.3,52.0,11.700000000000003,0.0,False,overcast
214,Indianapolis,2023-02-01,2023,2,20.1,10.9,28.6,17.700000000000003,0.0,False,partially cloudy
215,Indianapolis,2023-03-01,2023,3,53.8,38.7,74.7,36.0,0.0,False,partially cloudy
216,Indianapolis,2023-04-01,2023,4,46.8,39.2,57.2,18.0,0.206,True,"rain, partially cloudy"
217,Indianapolis,2023-05-01,2023,5,42.8,40.3,46.3,6.0,0.273,True,"rain, overcast"
